City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,nuuk,64.1835,-51.7216,-10.66,67,100,7.2,GL,1707093537
351,kota,25.1833,75.8333,17.3,89,77,0.93,IN,1707093537
352,gorontalo,0.5412,123.0595,29.59,64,100,1.49,ID,1707093538
353,newman,37.3138,-121.0208,15.13,83,100,8.94,US,1707093364
354,timimoun,29.2639,0.231,10.74,57,0,5.43,DZ,1707093539
355,qamdo,31.1667,97.2333,-6.26,42,100,3.2,CN,1707093539
356,heze,35.2431,115.4411,-4.63,89,72,2.25,CN,1707093540
357,zambezi,-13.5432,23.1047,18.19,95,97,0.97,ZM,1707093541
358,tazacorte,28.629,-17.9293,18.54,25,0,4.02,ES,1707093382
359,naze,28.3667,129.4833,18.51,81,100,8.1,JP,1707093543
360,qarqaraly,49.4058,75.4742,-10.67,92,100,3.61,KZ,1707093543
361,kholmsk,47.0511,142.0569,-7.08,72,100,6.58,RU,1707093544
